92.7 66.6 11.1 18.4 33.5 70.9 269.4 415.1 248 37.3 11.5 0 
4.2 7.7 13.2 28.5 59.8 89.9 456.1 204.9 306.6 17.6 5.9 3.2 
25.1 19.5 10.7 32.8 56.4 142.1 206.1 280.8 190.2 210.1 0.5 0 
2.5 17 38.1 9.1 116.1 308.9 494.1 336.1 125.6 30.6 2.3 0.4 
38.4 53.3 61.6 32.9 66.2 41.5 420.3 293.7 322.8 21.3 0 2.7 
45.8 128.5 35.9 1.7 33.9 170.9 355.6 251.6 185.4 96.8 7.1 1.1 
2 59.3 76 26.3 27.4 338.1 230.4 469.4 200.2 1.7 0 24.8 
12.2 46.4 4.8 0.6 48.6 210.1 326.2 368 171.6 25.5 0.1 0.1 
32.2 10.1 0.9 78.8 27.2 314 319.9 360.3 267.8 23.4 0 13.3 
20.7 9 2.4 24.4 43.7 255.5 268.6 334.5 244.7 84.2 9.4 0.3 
0.7 0.2 31.5 7.7 25.5 391.6 164.2 410.3 303.5 100.5 39.7 0 
1.7 25.1 15.2 29.7 42.4 125.2 361.7 347.6 108.7 34.3 51.2 0 
1.9 111.6 40.1 1 77.9 375.5 321.3 383.8 164.3 73.8 18.3 16.3 
0.1 24.6 19.4 23.6 150.1 123.8 354.4 337 159.5 16.7 0 6.2 
7.7 36.7 33.4 10.7 58.6 149.7 270.2 220.5 214.7 60 39.9 0.1 
0 14.3 0.2 17.1 22.6 283.5 224.9 303.2 231.5 253.2 13.8 0 
1.7 40.1 17.1 9 107.1 287 359.5 372.8 251.2 277.1 1.2 0.5 
4.2 2.4 3.6 15.5 78.5 324 149.7 406.7 175.9 1.7 0 0.5 
102.9 16.2 23.5 19 67.9 367.3 331.8 398.2 215.7 87.4 3.4 0.1 
0 19.5 62.6 8.8 41.9 109.4 660.2 321.6 184.7 6.3 0 0 
37.1 11 1.4 20.8 12.9 228.2 325.2 391.5 182.8 22.8 0 0 
8.2 6.2 0 14.5 19.5 305.3 404.7 365.9 250 58.8 9.2 0.9 
0.7 68.3 5.3 5.1 26.7 186 398.4 552.5 124 46 18.2 0.6 
23 16.6 1.9 12.2 26.3 148.7 431.8 269.6 323.6 75.1 103.1 0 
4.7 6.1 12.1 37.1 84.6 196.5 428.3 314 172.5 63.5 7.7 0.5 
33.5 3.4 95 13.5 41.5 55.7 466.5 391.2 309.6 44.6 2.9 21 
27.9 99 31.6 2.9 41.7 92.3 452.5 311.6 156.4 51.4 15.8 0 
51.4 11.8 3 26.4 48.1 313.4 396.7 213.7 131.7 183.3 0.1 4.4 
63.9 15.2 12.7 11.4 29.5 111.4 541.7 412.2 124.6 236.4 0 52.5 
0.9 4.3 7.7 18.1 16.5 125.5 506.8 361.4 222.8 44.5 121.1 4.4 
7 116.9 18 2.2 37.1 109 357 355.2 201.2 112.7 33.4 0.8 
0 32.8 4 15 45.8 96.5 374.1 297.8 221.1 50.2 55.5 0.9 
61.2 58.7 8.9 37 94 218.1 366.8 397.3 209.6 74.5 4.1 5.5 
24 10.3 1.8 13.1 13.6 166.7 324.2 341.4 230.5 55.9 12 3.9 
35.8 21.7 10 23.4 6.7 120.5 295.8 435.6 200 1.6 0 0.5 
15.9 18.9 13.5 5.4 93 279.1 378.9 346.2 356.8 135.2 11.4 10.1 
0 96.4 4.9 20.7 72.1 186.1 363.2 300.8 276.2 129.6 0.4 0 
29 36.1 0.2 0.8 102.1 201 269 344.1 200.4 45.1 1.9 0 
14.7 47.8 41.7 15.4 18.3 237 367.3 378.2 257 139.8 1 1.6 
0.2 38.1 89.6 15.6 42.3 123.3 339.6 387.3 130.1 41.2 0 24.6 
41.6 4.2 2.5 7 52.3 287.8 357.2 365.3 196.3 164.7 34.6 0.1 
8.8 61.4 19.9 31.2 22.7 140.5 482.3 433.3 356.2 25.9 5.8 1 
76.4 12.5 0.7 34.9 38.9 127.5 452.1 488 245 80.1 0 0 
34.5 65.3 46.6 29.1 18.7 129.4 368.5 428.3 149 112.5 4.3 0.3 
45.8 27.4 0.4 25.6 45.2 168.4 276.6 293.1 277.2 144.6 3.2 1.2 
0 16.1 16.7 68.5 84.1 270.1 329.4 345 253 135.6 34.6 0.1 
12.1 24.1 45.9 2.8 35.7 143.8 291.1 302.8 253.5 106.2 2.3 14.3 
26.7 18.7 17.7 8.4 47 185.9 386 318 207.3 96.9 89.9 0.2 
21.8 16.2 15.5 57.4 107.8 187.3 364 384.7 215 66 0 1 
1 14.8 31.4 1.9 36.4 318.4 389.6 389.6 173.1 21.1 11.9 3.7 
5.1 0.4 48.9 24.2 25.1 177.5 259.1 267 186.1 69.2 9 0 
3.9 10.7 24.2 36 58 210.7 357.7 355.7 237.9 89.7 1.4 1.4 
35.3 11 0.8 7.4 28.5 213 440 416.2 314.5 23.4 19.3 0 
12.4 8.4 4.3 3.5 29.7 160.9 272.2 267.4 257.8 35.3 0.6 7 
43.6 9.8 5.9 5.1 23.9 137.7 347.1 240.5 155.4 96.9 14.8 0.1 
13.9 25.7 50.3 5.8 78.5 259.3 301.6 344.6 312.9 140.9 14.3 7.9 
56.3 24.7 30.6 2.4 6.5 163.6 498.7 293.2 283 18.2 0 0.2 
11.5 39.8 20 24.8 12.2 93.6 336.1 263.3 267.2 111.3 0.7 0 
51.6 5.6 5.2 17.5 56.4 188.5 332.6 305.8 363.9 272.8 0 0 
6.6 0.5 29.3 1.9 32.1 115.6 310.1 432.7 274.6 44.8 0.6 0 
8.9 84.3 1 4.6 30 298.6 296.3 358.2 317.2 155.3 1.6 4.6 
8.2 15 4.3 31.1 26.5 167.4 251.5 265.5 213.5 55.8 0 8.9 
2.8 7.8 9.9 23.3 67.7 171.5 301.6 249 241.3 228.6 11.2 0.2 
2.2 12.2 4.7 18.9 53.8 200.4 306.4 262 214.4 71.5 3.9 0 
0.8 8.7 26.6 31.3 14.8 113.1 354.6 215.9 206.2 39.2 0.3 0.9 
24.7 3.8 0.2 10.5 22.1 233.2 174.1 263.4 87.9 35.8 15.9 8.1 
8.6 1 39.9 24.2 43.7 71.9 283.5 450.8 268.5 19.8 1.1 12.3 
34.4 9.4 5.5 4.7 22 272.6 351.5 420.5 97.2 71.2 0.5 3.7 
6.2 4 5 34.7 86.1 130.2 299 337.4 209.4 25.1 20.9 0.1 
24.3 16.6 28 8.4 29.7 182.4 300 252.8 380.7 67 1.5 0 
43.4 24.3 2.1 95.6 83.5 272.3 503.1 526.1 237.5 104 6.7 0.1 
8.6 46.5 0.2 9.1 3.2 75.9 248.5 352.7 175.1 54.4 21.6 0.4 
10.6 15.2 23.9 7.1 56.4 184.3 224.3 294.6 365.4 245.1 13.7 0.6 
2.6 0.5 24.3 3.3 51.9 64.9 334.9 331.7 235 76.6 0.3 1 
17.2 13.4 26 10.1 30.1 121 477.6 339.2 224.3 102.5 0.1 0 
0 23.1 7.2 25.2 58.2 107 297.5 263 394.5 9.3 3.2 3.5 
19.2 8.1 3.8 47.9 102.5 281.1 458.3 316.4 184.8 50.3 27.3 21.8 
10.5 50.9 45.3 28.4 33.8 283.7 252.8 341.1 376.5 114.3 7 12 
22.4 38.7 6.1 19.5 6.1 129.1 286 174.9 134.2 36.1 18.7 11 
13.6 14.9 37.1 21 40 273.7 350.7 281.2 232.1 73.8 0 2.3 
40.7 33.5 20.1 40.9 94.9 143.3 355.3 226.4 189.5 6.1 3.1 13.4 
8.4 23.6 77.3 30.9 33.4 183.9 180.8 358.7 118.1 52.7 15.7 1.8 
4.3 33.1 9.9 44.4 83.3 131.8 280 240.6 308.8 110.7 0.2 14.7 
33.4 26.2 1.6 14.1 31 479.6 350.4 387.3 155.8 50.2 0.1 0.1 
19.1 9.1 1.6 8.8 48.2 131.2 338 312.6 216.6 153.7 0.5 0.9 
6.9 21.2 3.8 25 74.8 253 352.2 212.9 188.5 128.2 31.1 37.9 
5.9 10.1 10.9 30.3 44.9 93.1 410.8 371.1 299.1 19.7 31.4 5.4 
3.1 37.1 42.2 23.7 23.6 303.6 273.5 276.1 127.8 38.7 2.6 1.6 
1.9 0.3 2.8 0.1 66.4 246 285.6 258.9 219 39.6 8.6 19.7 
0.8 48 22.2 15.4 90.6 197.4 430.7 230.8 226 128.1 14.2 0.3 
19.3 8 31.1 11.2 33.7 171.3 252.9 384 274 29.4 1.9 34.2 
2.3 6.1 0.6 8.8 51.8 129.8 295.7 265.2 148.5 22.5 1.6 0.3 
1.7 2 16.1 32 50.5 203.2 214.4 245.9 372.4 49.6 16.2 0 
17.7 23.8 0.6 20 29.2 391.3 451.6 360.7 162.8 118.9 2.7 0.1 
13.7 9.7 22.4 4.3 30.3 134.2 312.3 301.5 395.9 37.5 84.7 20.1 
17.1 24.4 4.9 8 18.5 302.7 274.1 384.3 133.6 23.9 0.1 0 
9.5 3.7 1.5 29.4 25.2 230.4 400.5 431.6 199.6 54.3 39 36.6 
76.3 20.6 54.1 33.8 45.5 109.9 302.4 263.2 288.6 132.3 26.3 0.7 
0.6 0.1 0.1 1.5 95.4 240.2 416 373.1 315.8 140.6 3.3 0.2 
3.6 21.2 6.3 19.6 67.7 185.3 358.4 152.8 356.9 19.1 0.4 0.2 
1.9 4 30 14 57.4 324.7 354.6 219.4 132.8 115.5 0.2 0 
9 5.4 10.7 11.5 38.7 184.9 186.8 277.4 253.4 55 1.3 0.8 
3.3 30.5 33.6 17.9 21.5 152.4 247.5 245.1 224 255.5 6.2 7.4 
5.5 2.7 3.1 41 31.1 184.4 200.7 327 211.5 128.1 0.1 1.6 
22.1 17.5 17.7 9.6 23.5 157.2 266.4 214.5 141.5 83.1 1.3 6.1 
0.3 0.2 22.4 15.7 107.4 198.3 447.1 337.2 298.7 24.6 7.4 0 
1.7 48.4 25.5 22.3 58.1 125.4 430.4 353.6 324.7 39.6 7.6 0 
19.4 3.6 6.2 10.7 42.9 366.3 377.9 310.5 152.9 34 1 0 
1.8 0.8 2 0.8 78.1 62.7 266.6 248 248.8 82.2 4 0.5 
0.2 2.3 0.9 6.3 29.2 92.6 170.2 155.1 160.5 55.1 4.7 20 
3.3 2.5 6.4 25.4 55 349 181.8 403.2 324.6 23.3 0 0.1 
34.6 10.3 1.5 9.6 6.6 121.1 287.2 282.4 217.6 37.8 48.6 7.6 
1.1 17.9 1.6 22.3 85 181.5 211.1 278.1 173.8 281.1 0 0 
9.9 47.5 22.9 1.9 98.2 139.7 321.3 290.9 178.2 44.9 0 1.2 
12.2 2.6 1.6 51.5 255.5 1834.3 249.7 240.7 85.1 22.7 0.2 2.7
9.9 47.5 22.9 1.9 98.2 139.7 321.3 290.9 178.2 44.9 0 1.2  
